Species Common Name,Scientific Name,TaxonClass,Overall Sample Size,Overall MLE,Overall CI - lower,Overall CI - upper,Male Sample Size,Male MLE,Male CI - lower
"Rattlesnake, Eastern Massasauga",Sistrurus catenatus�catenatus,Reptilia,,8.7,6.8,9.5,100,9.1,7.2
"Rattlesnake, Mexican Lance-headed",Crotalus polystictus,Reptilia,,8.4,7.2,9,77,7.8,6.6
"Rhea, Greater",Rhea americana,Aves,,7.6,7,8.5,354,8.4,7.1
"Rhinoceros, Eastern Black",Diceros bicornis michaeli,Mammalia,,18.3,15.3,23.3,117,22.9,16.2
"Rhinoceros, Greater One-horned",Rhinoceros unicornis,Mammalia,,30.2,23.4,32,68,30.6,23.4
"Rhinoceros, Southern White",Cerathotherium simum,Mammalia,,31.4,29.1,33,275,32,27
Ringtail,Bassariscus astutus,Mammalia,,11,10.2,12,97,10.3,8.8
"Roller, Blue-bellied",Coracias cyanogaster,Aves,,8.9,7.1,10.2,136,9.9,7.1
"Saki, White-faced",Pithecia pithecia,Mammalia,,16.5,12.1,18.8,135,19.3,15.5
"Screamer, Crested",Chauna torquata,Aves,,12.4,10.5,14.8,134,14.1,10.4
"Sea Lion, California",Zalophus californianus,Mammalia,,23.4,22.2,24.1,394,21.8,20.1
"Seal, Grey",Halichoerus grypus,Mammalia,,18.8,9.5,23.7,32,19.1,3.3
"Seal, Harbor",Phoca vitulina,Mammalia,,24.1,20.1,26.8,164,24.3,19.4
"Seriema, Red-legged",Cariama cristata,Aves,,17.9,13.6,19.5,83,17.3,12.2
Serval,Leptailurus serval,Mammalia,,13.2,12.2,14.5,250,14,12.5
"Shark, Sandtiger",Carcharias Taurus,Chondrichthyes,,26.7,20.3,32.8,136,28.2,19.2
"Sheep, Desert Bighorn",Ovis canadensis nelsoni,Mammalia,,8,6.9,9.3,108,6.5,4.1
Siamang,Symphalangus syndactylus,Mammalia,,27.2,23.8,29.4,153,28,22.3
"Sifaka, Coquerel's",Propithecus coquereli,Mammalia,,11.7,9.5,15.6,66,10.7,8.5
Sitatunga,Tragelaphus spekii ,Mammalia,,6.7,6.1,7.6,411,5.4,4.8
"Sloth, Hoffman's Two-toed",Choleopus hoffmanni,Mammalia,,15.2,12.6,19.3,90,18.2,13.1
"Sloth, Linne's Two-toed",Choleopus didactylus,Mammalia,,16.9,13.3,19.2,102,17.5,12.4
"Snake, Eastern Indigo",Drymarchon couperi�,Reptilia,,11.4,10.1,12.1,242,11.9,10.5
"Snake, Louisiana Pine",Pituophis ruthveni,Reptilia,,15.6,12,17.7,78,15.6,14
"Spoonbill, Roseate",Ajaia ajaja,Aves,,10.3,9.7,11,453,10.8,10
"Springbok, South African",Antidorcas marsupialis,Mammalia,,5.8,5.4,6.2,418,4.4,3.9
"Squirrel, Prevost's",Callosciurus prevostii,Mammalia,,9.4,8.2,10.5,113,10.1,8.2
"Starling, Emerald",Coccycolius iris,Aves,,8.6,7,9.6,197,9.6,7.6
"Starling, Golden-breasted",Cosmopsarus regius,Aves,,8,6.8,9.1,249,8.9,7.6
Steenbok,Raphicerus campestris,Mammalia,,5.7,4.5,6.3,42,5.7,4.2
"Stilt, Black-necked",Himantopus mexicanus,Aves,,13,10.3,15,76,12.6,9.8
"Stingray, Ocellated River",Potamotrygon motoro,Chondrichthyes,,6.1,5.5,6.8,135,5.9,3.8
"Stork, European White",Ciconia ciconia ciconia,Aves,,16.1,14.2,17.6,154,17.6,15.6
"Stork, Marabou",Leptoptilos crumenifer,Aves,,12.3,9.9,14.3,140,18.4,12.3
"Stork, Painted",Mycteria leucocephala,Aves,,10.9,7.3,15.1,49,9.8,6.2
"Stork, Saddle-billed",Ephippiorhynchus senegalensis,Aves,,12.9,8,19.5,60,11.3,5.2
"Stork, Yellow-billed",Mycteria ibis,Aves,,11.8,10.4,15.2,60,11.9,6.9
Sunbittern,Eurypyga helias,Aves,,14.9,12.7,16.6,145,16.7,13.9
"Takin, Sichuan",Budorcas taxicolor tibetana,Mammalia,,13.7,12.5,15.4,104,13.4,12.3
"Tamandua, Southern",Tamandua tetradactyla,Mammalia,,6.1,3.9,8.4,49,5.2,2.8
"Tamarin, Bearded Emperor",Saguinus imperator subgrisescens,Mammalia,,7.8,6.9,9.3,92,9.5,7.3
"Tamarin, Cotton-top",Saguinus oedipus,Mammalia,,11.5,10.7,12.8,437,12.4,10.8
"Tamarin, Golden-headed Lion",Leontopithecus chrysomelas,Mammalia,,11.7,11,12.7,,,
"Tamarin, Pied",Sanguinus bicolor,Mammalia,,10.8,9.2,12.2,50,10,8.5
"Tanager, Blue-grey",Thraupis episcopus,Aves,,5.2,4.5,6.3,174,5.3,4
"Tanager, Silver-beaked",Ramphocelus carbo,Aves,,4.7,4.1,5.3,148,4.6,3.6
"Tanager, Turquoise",Tangara mexicana,Aves,,4,3.6,4.3,235,3.9,3.5
"Tapir, Baird's (Central American)",Tapirus bairdii,Mammalia,,19.1,17,20.5,115,19.5,17.5
"Tapir, Malayan (Asian)",Tapirus indicus,Mammalia,,15.6,12.8,17.3,82,20.4,15.6
"Tarantula, Mexican Red-kneed",Brachypelma smithi,Arachnida,,,,,,,
"Teal, Marbled",Marmaronetta angustirostris,Aves,,5.6,5.2,5.9,435,5.9,5.6
"Tenrec, Lesser Madagascar Hedgehog",Echinops telfairi,Mammalia,,8,7.3,8.5,257,8.4,7.6
"Tern, Inca",Larosterna inca,Aves,,8.6,7.7,9.6,367,8.7,7
"Tiger, Amur (Siberian)",Panthera tigris altaica,Mammalia,,15.3,14.9,15.6,241,16,15.4
"Tiger, Malayan",Panthera tigris jacksoni,Mammalia,,16.1,13.4,17.9,58,16.1,13.4
"Tiger, Sumatran",Panthera tigris sumatrae,Mammalia,,18.4,16.4,18.8,71,18.2,16.7
"Toad, Houston",Bufo (Anaxyrus) houstonensis,Amphibia,,4.7,4.6,4.8,504,5,4.7
"Toad, Puerto Rican Crested (Northern and Southern)",Peltophryne lemur,Amphibia,,5.2,4.9,5.4,916,5.2,4.8
"Tortoise, Egyptian",Testudo kleinmanni,Reptilia,,12.5,10.8,14.7,101,11.3,9.9
"Toucan, Chestnut-mandibled",Ramphastos ambiguus swainsonii,Aves,,10.2,8.7,11.2,51,9.8,7.3
"Toucan, Keel-billed",Ramphastos sulfuratus,Aves,,6.8,5.7,8.1,74,7.3,4.2
"Toucan, Toco",Ramphastos toco,Aves,,7.4,6.6,8,184,7.7,6.4
"Tree Kangaroo, Matschie's",Dendrolagus matschiei,Mammalia,,13.2,11.5,14.5,89,12.4,11
"Tree Shrew, Northern",Tupaia belangeri,Mammalia,,7.1,6.6,7.5,99,7.4,6.6
Troupial,Icterus icterus,Aves,,6.1,5.5,7.4,90,5.7,4.8
"Turaco, Lady Ross'",Musophaga rossae,Aves,,10.5,9,12.2,160,10.8,8.1
"Turaco, Red-crested",Tauraco erythrolophus,Aves,,8.8,7.6,10.3,106,8.8,6.4
"Turaco, Violaceous",Musophaga violacea,Aves,,14.1,11.2,17.4,142,15.7,13.3
"Turaco, White-cheeked",Tauraco leucotis,Aves,,10,9.2,13,101,9.2,11.9
"Turtle, Coahuilan Box",Terrapene coahuila,Reptilia,,14.6,12.7,17.9,57,14.5,9.7
"Turtle, Wood",Glyptemys insculpta,Reptilia,,13.1,10.3,17.2,91,12.7,9
"Viper, Philippine Palm",Parias flavomaculatus mcgregori,Reptilia,,12.1,10.1,14,49,10.1,5.5
"Vulture, King",Sarcorhamphus papa,Aves,,,,,,,
"Wallaby, Bennett�s",Macropus rufogriseus,Mammalia,,5.3,5,5.7,982,5.1,4.7
